CPU+GPU Current(mA), CPU+GPU Power (mW)
48,245
176,899
160,817
120,654
112,572
128,654
152,777
144,736
144,736
184,940
152,777
144,736
152,817
120,613
120,613
144,736
120,613
136,695
144,736
152,777
160,817
160,817
160,817
152,777
80,408
64,368
56,286
72,368
72,368
72,368
64,327
64,327
72,368
80,408
64,368
72,368
80,408
72,368
72,368
80,408
88,449
80,408
184,940
192,981
176,899
408,2088
672,3440
936,4792
976,5038
976,4997
976,4997
992,5079
992,5079
1024,5242
992,5079
992,5079
992,5079
992,5079
992,5079
1000,5120
992,5079
992,5079
992,5120
992,5079
992,5120
992,5079
992,5079
992,5120
992,5079
992,5079
992,5079
992,5079
992,5120
992,5079
992,5038
992,5038
1000,5120
1000,5079
992,5079
984,5038
984,5038
1000,5160
992,5038
976,4997
840,4259
936,4833
1016,5201
984,5079
984,5038
992,5079
984,5038
984,5038
976,4997
976,4997
1000,5160
992,5038
992,5038
984,5038
984,5079
992,5120
992,5120
992,5079
984,5038
984,5038
1000,5120
992,5120
992,5079
984,5038
984,5038
1000,5120
992,5079
992,5079
992,5079
992,5079
992,5120
992,5120
992,5079
992,5079
984,5038
984,5079
992,5079
1000,5120
976,4997
664,3481
944,4874
976,4956
968,4956
984,5079
992,5079
984,5038
984,5038
976,4997
976,4997
976,4997
1000,5120
984,5038
992,5079
976,4997
976,5038
1000,5120
984,5038
992,5079
984,5038
984,5079
992,5120
984,5038
984,5079
984,5038
984,5038
1000,5120
984,5038
992,5038
984,5079
992,5079
1000,5120
984,5038
992,5079
984,5038
984,5079
992,5079
976,4997
976,5038
808,4136
968,4956
976,4997
992,5079
976,4997
992,5038
976,4997
984,5038
976,4997
976,4997
1000,5120
976,4997
992,5079
976,4997
976,4997
1000,5120
976,4997
992,5079
976,4997
976,4997
1000,5120
976,4997
984,5079
976,4997
976,4997
1000,5120
984,4997
992,5079
976,4997
976,4997
1000,5120
976,4997
992,5079
976,4997
976,5038
1000,5120
976,4997
984,5038
960,4915
864,4423
984,5038
984,5079
984,5038
1000,5079
976,4997
984,5038
976,4997
968,4956
1008,5160
992,5079
984,5079
976,5038
984,5038
1000,5120
992,5079
992,5079
984,5038
976,4997
1000,5160
976,4997
984,5038
976,4997
976,4997
1000,5120
984,4997
984,5079
976,4997
976,4997
1000,5120
976,4997
992,5079
976,4997
976,5038
1000,5120
976,5038
992,5079
960,4956
976,4997
280,1433
