CPU+GPU Current(mA), CPU+GPU Power (mW)
48,245
176,899
152,817
136,695
120,613
152,777
184,940
168,899
176,899
184,940
112,572
72,368
64,327
64,327
56,286
64,327
88,449
176,899
176,899
168,858
176,899
728,3727
904,4628
928,4751
920,4710
936,4792
928,4710
920,4710
912,4710
928,4751
928,4751
920,4710
928,4751
920,4710
920,4710
936,4833
920,4710
920,4710
928,4751
936,4792
920,4710
912,4710
928,4751
928,4710
872,4464
872,4464
848,4341
872,4464
880,4505
896,4587
896,4341
952,4874
904,4628
592,3072
904,4628
928,4751
928,4751
968,4956
936,4792
928,4751
904,4628
912,4710
904,4628
920,4710
920,4710
888,4546
912,4669
928,4751
928,4751
920,4669
920,4710
928,4710
928,4751
912,4669
912,4669
920,4710
920,4710
920,4710
920,4710
920,4710
928,4751
904,4587
912,4669
904,4669
928,4751
872,4464
912,4669
936,4751
912,4669
912,4710
904,4628
920,4710
920,4710
920,4710
920,4710
920,4751
912,4669
912,4669
928,4792
920,4710
912,4669
904,4628
912,4669
912,4669
904,4628
912,4710
920,4710
912,4710
912,4669
960,4915
912,4669
904,4628
920,4710
928,4792
912,4669
752,3809
944,4833
936,4792
904,4628
928,4751
904,4669
848,4341
872,4464
888,4546
872,4505
904,4669
840,4300
920,4710
800,4177
920,4628
968,5038
880,4464
888,4587
856,4423
888,4587
888,4505
936,4833
832,4341
864,4423
800,4136
896,4546
864,4423
824,4177
824,4300
912,4669
936,4792
976,4997
1000,5120
1008,5160
944,4833
912,4669
904,4628
872,4464
912,4669
920,4669
936,4792
952,4874
936,4833
952,4874
872,4505
832,4341
944,4833
928,4751
968,4956
976,4997
912,4669
944,4833
928,4751
920,4710
920,4710
896,4546
936,4792
744,3768
936,4833
936,4751
928,4751
912,4669
920,4710
920,4710
920,4710
912,4669
928,4751
920,4710
904,4628
408,2088
